Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-10-01 16:31:11.506 -0400,"Success",0:00:02,0,0,0,"20241001_163111.506/LogFile.txt","","",1
2024-10-01 16:32:16.160 -0400,"Success",0:00:06,0,0,0,"20241001_163216.160/LogFile.txt","","",1
2024-10-01 16:32:59.449 -0400,"Success",0:00:06,0,0,0,"20241001_163259.449/LogFile.txt","","",1
2024-10-01 16:33:51.368 -0400,"Success",0:00:02,0,0,0,"20241001_163351.368/LogFile.txt","","",1
2024-10-01 16:34:02.674 -0400,"Success",0:00:03,0,0,0,"20241001_163402.674/LogFile.txt","","",1
2024-10-01 16:34:40.945 -0400,"Aborted",0:00:18,1,0,1,"20241001_163440.945/LogFile.txt","","",0
2024-10-01 16:35:01.993 -0400,"Aborted",0:00:19,1,0,1,"20241001_163501.993/LogFile.txt","","",0
2024-10-01 16:35:27.138 -0400,"Aborted",0:00:12,1,0,1,"20241001_163527.138/LogFile.txt","","",0
2024-10-01 16:37:41.054 -0400,"Aborted",0:00:17,1,0,1,"20241001_163741.054/LogFile.txt","","",0
2024-10-01 16:38:35.870 -0400,"Aborted",0:00:30,1,0,0,"20241001_163835.870/LogFile.txt","","",0
